Player,Season,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Laeticia Amihere,2025,F,4.339,7.679,15.994,16.884
Yvonne Anderson,2025,G,-0.5,2.0,0.872,-7.664
Ariel Atkins,2025,G,4.132,12.824,13.641,15.723
Shakira Austin,2025,F-C,5.365,12.405,16.02,20.603
Marième Badiane,2025,C,-1.667,-0.667,-15.502,-35.837
Rachel Banham,2025,G,1.94,7.5,9.155,10.777
Sarah Ashlee Barker,2025,G,0.594,2.688,3.008,1.504
Kierstan Bell,2025,F,1.329,3.543,9.119,11.781
Monique Billings,2025,F,4.542,8.417,14.63,16.83
Aliyah Boston,2025,C-F,10.174,20.163,19.965,23.395
Crystal Bradford,2025,F,0.75,1.75,6.692,5.628
Cameron Brink,2025,F,3.412,6.471,14.1,12.74
Jaelyn Brown,2025,G-F,0.4,2.6,5.261,4.478
Kalani Brown,2025,C,4.333,7.333,16.713,17.582
Lexie Brown,2025,G,0.833,2.5,7.347,6.695
Paige Bueckers,2025,G,7.086,19.457,18.87,23.677
Kennedy Burke,2025,G-F,3.721,8.088,12.591,15.049
Rae Burrell,2025,G-F,2.231,6.269,10.988,13.397
Veronica Burton,2025,G,6.738,15.524,16.291,17.161
Maya Caldwell,2025,G,3.575,7.35,11.35,12.593
Jordin Canada,2025,G,4.741,13.148,13.76,16.67
Emma Cannon,2025,F,1.825,4.65,11.972,10.066
Kamilla Cardoso,2025,C,8.053,16.395,17.425,20.745
Bridget Carleton,2025,F,4.512,8.81,9.132,9.833
Tina Charles,2025,C,5.024,14.452,15.274,19.772
Kaitlyn Chen,2025,G,0.326,2.087,4.194,4.68
Sonia Citron,2025,G,5.837,14.233,13.975,16.689
Caitlin Clark,2025,G,4.346,16.615,13.516,17.381
Natasha Cloud,2025,G,5.359,13.667,12.673,13.476
Nia Coffey,2025,F,2.256,4.558,11.909,12.439
Napheesa Collier,2025,F,12.531,25.094,26.073,32.138
Sydney Colson,2025,G,0.417,2.833,5.132,4.782
Zia Cooke,2025,G,-0.346,1.692,4.721,5.153
Kahleah Copper,2025,G-F,2.654,11.538,12.71,15.992
Sophie Cunningham,2025,G,4.833,9.8,10.984,11.124
Damiris Dantas,2025,C-F,0.662,3.595,6.724,7.095
Kariata Diaby,2025,C,0.346,2.077,4.862,-1.069
Skylar Diggins,2025,G,4.774,15.143,16.315,19.734
Stefanie Dolson,2025,C,1.833,4.976,7.52,5.335
Emily Engstler,2025,F,3.231,5.769,12.801,13.584
Dana Evans,2025,G,0.833,5.167,9.031,11.446
Temi Fagbenle,2025,C,4.311,9.703,11.14,11.206
Sania Feagin,2025,F,-0.633,0.133,-1.958,-3.352
Leonie Fiebich,2025,F,5.214,10.8,11.072,11.224
Rebekah Gardner,2025,G,2.026,4.487,10.457,9.115
Luisa Geiselsoder,2025,C,4.732,9.214,10.642,11.451
Allisha Gray,2025,G,7.902,18.341,16.418,18.985
Chelsea Gray,2025,G,5.381,13.476,12.589,14.654
Brittney Griner,2025,C,4.724,10.026,13.559,16.76
Megan Gustafson,2025,C,0.333,2.389,3.291,-1.42
Dearica Hamby,2025,F,10.214,20.976,20.659,25.277
Isabelle Harrison,2025,F,2.844,6.188,16.577,17.962
Tyasha Harris,2025,G,2.6,6.0,12.0,13.577
Bria Hartley,2025,G,1.184,7.421,8.518,8.562
Tiffany Hayes,2025,G,3.942,11.192,11.665,13.257
Lexi Held,2025,G,0.817,4.0,8.857,10.998
Natisha Hiedeman,2025,G,3.369,9.238,15.07,18.028
Naz Hillmon,2025,F,7.244,12.674,13.937,16.134
Myisha Hines-Allen,2025,F,5.256,11.0,12.182,12.393
Joyner Holmes,2025,F,-0.583,0.333,-3.371,-5.267
Mackenzie Holmes,2025,F,1.5,2.4,12.663,11.028
Natasha Howard,2025,F,7.174,14.163,16.908,19.137
Rhyne Howard,2025,G,6.188,16.531,15.253,18.293
Lexie Hull,2025,G,4.221,9.256,9.41,9.399
Sabrina Ionescu,2025,G,6.625,18.083,17.802,22.942
Kiki Iriafen,2025,F,7.465,15.791,15.516,17.48
Rickea Jackson,2025,F,2.568,10.568,10.914,15.066
Aziaha James,2025,G,1.892,6.189,10.614,13.968
Moriah Jefferson,2025,G,1.0,2.8,7.986,8.252
Marine Johannes,2025,G,2.214,5.929,9.283,12.242
Brionna Jones,2025,F,8.826,16.674,19.886,23.335
Jonquel Jones,2025,C,9.586,17.379,18.007,21.066
Elizabeth Kitley,2025,C,-0.042,1.083,1.23,-2.43
Anastasiia Kosu,2025,F,0.211,1.053,11.375,13.201
Leïla Lacan,2025,G,3.74,11.92,13.36,14.207
Kitija Laksa,2025,G,0.71,3.903,6.715,8.004
Kyra Lambert,2025,G,0.0,0.0,,
Carla Leite,2025,G,0.829,6.0,10.128,11.167
Kyara Linskens,2025,C,0.625,1.75,4.518,-1.85
Jewell Loyd,2025,G,3.655,9.714,11.014,13.374
Marina Mabrey,2025,G,1.809,11.088,8.744,11.324
Natasha Mack,2025,F-C,7.594,10.188,18.963,20.971
Ezi Magbegor,2025,F-C,7.174,12.186,14.619,15.523
Dominique Malonga,2025,C,4.39,9.073,17.718,21.158
Rayah Marshall,2025,C-F,0.857,1.929,6.048,5.59
Kate Martin,2025,G,1.8,5.275,8.236,10.685
Kayla McBride,2025,G,5.216,13.459,14.206,17.757
Megan McConnell,2025,G,2.0,5.0,13.61,15.065
Teaira McCowan,2025,C,4.676,7.882,18.618,20.401
Aari McDonald,2025,G,3.3,10.85,11.845,12.617
Emma Meesseman,2025,F,8.167,16.2,18.769,23.859
Jade Melbourne,2025,G,0.976,5.905,6.161,5.295
Kelsey Mitchell,2025,G,3.93,15.0,16.621,22.053
Aneesah Morrow,2025,F,5.312,9.65,13.506,15.011
Murjanatu Musa,2025,C,1.958,4.333,12.708,12.343
Olivia Nelson-Ododa,2025,C,5.392,10.135,14.996,15.588
Kia Nurse,2025,G,1.095,5.238,6.089,6.915
Aaliyah Nye,2025,G-F,0.762,2.976,5.333,5.671
Arike Ogunbowale,2025,G,2.259,12.276,11.54,14.01
Nneka Ogwumike,2025,F,9.5,19.581,19.053,25.086
Amy Okonkwo,2025,F,4.214,9.571,16.175,18.421
Lucy Olsen,2025,G,0.95,3.75,8.593,10.003
Michaela Onyenwere,2025,F,0.55,4.3,6.679,7.064
Te-Hina PaoPao,2025,G,2.381,6.238,11.111,13.991
Robyn Parks,2025,F,0.75,1.667,1.313,-2.613
Haley Peters,2025,F-G,1.016,3.031,4.732,2.251
Ajae Petty,2025,F,0.5,1.0,-1.77,-16.431
Kelsey Plum,2025,G,5.244,17.805,15.671,18.255
