"Player","Team","Pos","G","MP","GS","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Karlie Samuelson","WAS","G",29,711,19,79,193,0.409,49,123,0.398,30,70,0.429,36,39,0.923,15,59,74,62,27,1,25,48,243
"Katie Lou Samuelson","IND","F",37,674,15,51,146,0.349,33,100,0.33,18,46,0.391,24,25,0.96,17,68,85,51,12,9,18,53,159
"Victaria Saxton","IND","F",9,23,0,3,9,0.333,1,4,0.25,2,5,0.4,1,2,0.5,0,3,3,0,0,0,1,4,8
"Jacy Sheldon","DAL","G",40,931,26,81,210,0.386,30,97,0.309,51,113,0.451,25,27,0.926,27,55,82,99,23,12,63,101,217
"Jaylyn Sherrod","NYL","G",10,37,0,7,14,0.5,2,6,0.333,5,8,0.625,3,6,0.5,2,1,3,5,3,1,2,4,19
"Maddy Siegrist","DAL","F",27,644,13,106,210,0.505,10,37,0.27,96,173,0.555,33,43,0.767,43,47,90,27,10,10,15,33,255
"Alanna Smith","MIN","F",39,1035,39,147,312,0.471,47,118,0.398,100,194,0.515,54,72,0.75,61,158,219,124,53,57,76,119,395
"NaLyssa Smith","IND","F",40,990,37,168,350,0.48,14,48,0.292,154,302,0.51,72,127,0.567,72,213,285,41,30,39,52,107,422
"Stephanie Soares","DAL","C",22,175,3,10,34,0.294,2,12,0.167,8,22,0.364,2,2,1.0,18,29,47,10,2,8,12,18,24
"Taylor Soule","MIN","F",2,3,0,0,0,"",0,0,"",0,0,"",0,0,"",0,1,1,0,0,0,1,0,0
"Azura Stevens","LAS","F-C",20,493,19,71,178,0.399,28,80,0.35,43,98,0.439,22,27,0.815,20,120,140,38,17,18,36,39,192
"Breanna Stewart","NYL","F",38,1243,38,265,578,0.458,46,156,0.295,219,422,0.519,201,238,0.845,61,262,323,134,64,48,65,80,777
"Kiah Stokes","LVA","C",39,716,29,20,62,0.323,9,40,0.225,11,22,0.5,6,9,0.667,23,161,184,28,21,33,15,68,55
"Brittney Sykes","WAS","G",18,419,18,81,200,0.405,16,59,0.271,65,141,0.461,42,56,0.75,11,62,73,55,16,7,40,26,220
"Stephanie Talbot","LAS","F",37,600,10,49,124,0.395,13,50,0.26,36,74,0.486,20,29,0.69,21,80,101,76,19,17,37,51,131
"Diana Taurasi","PHO","G",36,1044,36,172,430,0.4,86,258,0.333,86,172,0.5,108,126,0.857,13,124,137,122,22,10,68,92,538
"Alyssa Thomas","CON","F",40,1296,40,166,326,0.509,0,4,0.0,166,322,0.516,91,145,0.628,98,239,337,317,62,18,145,84,423
"Kayla Thornton","NYL","F",40,809,11,77,203,0.379,45,126,0.357,32,77,0.416,22,26,0.846,39,64,103,27,29,9,23,56,221
"Brianna Turner","CHI","F-C",27,253,2,16,26,0.615,0,0,"",16,26,0.615,1,2,0.5,11,42,53,10,9,13,12,28,33
"Sevgi Uzun","DAL","G",40,820,19,68,199,0.342,20,84,0.238,48,115,0.417,19,23,0.826,9,56,65,119,37,11,73,60,175
"Courtney Vandersloot","NYL","G",31,691,31,81,182,0.445,18,67,0.269,63,115,0.548,17,31,0.548,13,68,81,149,25,15,56,53,197
"Julie Vanloo","WAS","G",40,926,34,106,306,0.346,72,222,0.324,34,84,0.405,10,15,0.667,5,60,65,173,19,1,102,86,294
"Victoria Vivians","SEA","G-F",35,445,15,41,123,0.333,22,69,0.319,19,54,0.352,6,9,0.667,19,50,69,29,13,7,20,42,110
"Shatori Walker-Kimbrough","WAS","G",40,883,2,105,253,0.415,35,106,0.33,70,147,0.476,54,67,0.806,13,56,69,75,42,18,54,40,299
"Kristy Wallace","IND","G",26,447,15,47,117,0.402,17,58,0.293,30,59,0.508,12,18,0.667,11,37,48,45,18,6,17,29,123
"Erica Wheeler","IND","G",39,546,2,58,141,0.411,15,52,0.288,43,89,0.483,11,13,0.846,7,46,53,69,17,4,35,45,142
"Sami Whitcomb","SEA","G",40,611,3,72,208,0.346,47,161,0.292,25,47,0.532,9,11,0.818,15,59,74,64,30,9,40,56,200
"Courtney Williams","MIN","G",40,1061,40,194,438,0.443,23,69,0.333,171,369,0.463,34,42,0.81,14,172,186,221,36,16,98,77,445
"Elizabeth Williams","CHI","C-F",9,249,9,37,76,0.487,0,0,"",37,76,0.487,16,24,0.667,25,38,63,14,15,15,15,19,90
"Gabby Williams","SEA","F",12,351,11,50,104,0.481,10,31,0.323,40,73,0.548,14,19,0.737,9,39,48,44,20,3,17,21,124
"Kiana Williams","SEA","G",13,45,0,4,16,0.25,3,9,0.333,1,7,0.143,0,0,"",0,2,2,5,0,0,2,3,11
"A'ja Wilson","LVA","C",38,1308,38,385,743,0.518,19,60,0.317,366,683,0.536,232,275,0.844,79,372,451,88,68,98,48,67,1021
"Jackie Young","LVA","G",37,1205,37,201,467,0.43,70,208,0.337,131,259,0.506,111,128,0.867,26,135,161,197,37,8,78,92,583
"Li Yueru","LAS","C",38,546,2,68,147,0.463,4,15,0.267,64,132,0.485,53,59,0.898,55,85,140,22,12,9,33,80,193
"Cecilia Zandalasini","MIN","F",40,487,0,67,148,0.453,31,70,0.443,36,78,0.462,18,29,0.621,5,41,46,43,15,9,31,55,183
