Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alyssa Thomas,PHO,F,36,1154,36,229,425,0.539,0,5,0.0,229,420,0.545,114,162,0.704,61,262,323,332,57,17,128,76,572
Kayla Thornton,GSV,F,22,662,22,100,276,0.362,40,142,0.282,60,134,0.448,68,82,0.829,40,114,154,33,29,5,36,52,308
Makayla Timpson,IND,F-C,29,211,0,32,57,0.561,0,0,,32,57,0.561,15,23,0.652,18,39,57,1,13,7,8,24,79
Mamignan Touré,CON,G,15,107,0,10,27,0.37,6,16,0.375,4,11,0.364,0,0,,1,1,2,6,5,0,6,16,26
Brianna Turner,IND,F-C,25,213,0,11,27,0.407,0,1,0.0,11,26,0.423,3,4,0.75,16,28,44,14,2,8,7,23,25
Maria Kliundikova,MIN,F,31,341,1,57,115,0.496,8,23,0.348,49,92,0.533,12,21,0.571,38,49,87,19,24,24,21,43,134
Courtney Vandersloot,CHI,G,7,191,7,29,66,0.439,5,23,0.217,24,43,0.558,11,13,0.846,2,20,22,37,11,2,17,13,74
Hailey Van Lith,CHI,G,29,361,0,37,109,0.339,5,31,0.161,32,78,0.41,23,31,0.742,4,27,31,45,12,4,36,22,102
Shatori Walker-Kimbrough,ATL,G,39,345,1,26,62,0.419,11,30,0.367,15,32,0.469,8,11,0.727,3,29,32,21,10,11,15,24,71
Kathryn Westbeld,PHO,F,40,738,24,74,205,0.361,41,125,0.328,33,80,0.413,18,24,0.75,26,73,99,37,32,22,21,62,207
Maddy Westbeld,CHI,F,23,280,1,28,81,0.346,11,31,0.355,17,50,0.34,6,8,0.75,19,31,50,16,9,6,15,36,73
Erica Wheeler,SEA,G,43,1094,24,162,407,0.398,71,197,0.36,91,210,0.433,43,50,0.86,16,98,114,142,56,9,67,108,438
Sami Whitcomb,PHO,G,40,974,20,122,311,0.392,80,222,0.36,42,89,0.472,42,50,0.84,16,95,111,107,31,7,62,82,366
Christyn Williams,DAL,G,2,32,0,3,10,0.3,1,3,0.333,2,7,0.286,4,6,0.667,2,0,2,3,0,0,1,2,11
Courtney Williams,MIN,G,41,1172,41,235,541,0.434,57,143,0.399,178,398,0.447,44,52,0.846,22,176,198,257,50,13,95,80,571
Elizabeth Williams,CHI,C-F,41,871,13,150,312,0.481,0,0,,150,312,0.481,50,81,0.617,74,138,212,74,29,37,52,59,350
Gabby Williams,SEA,F,43,1368,43,197,464,0.425,50,164,0.305,147,300,0.49,64,75,0.853,24,164,188,179,98,21,82,63,508
Kiana Williams,PHO,G,9,78,0,12,25,0.48,5,15,0.333,7,10,0.7,1,2,0.5,0,8,8,7,1,0,2,3,30
A'ja Wilson,LVA,C,37,1157,37,308,613,0.502,19,53,0.358,289,560,0.516,237,279,0.849,82,290,372,112,57,82,84,74,872
Jackie Young,LVA,G,41,1248,41,240,517,0.464,70,204,0.343,170,313,0.543,125,139,0.899,51,132,183,198,53,16,93,103,675
Cecilia Zandalasini,GSV,F,17,423,10,64,138,0.464,37,83,0.446,27,55,0.491,26,29,0.897,5,48,53,32,16,4,20,32,191
